driver_race,location,n_stops,county_population
Black drivers,08119,60.0,115.0
Hispanic drivers,08119,120.0,1017.0
White drivers,08119,1874.0,17781.0
Black drivers,08121,43.0,33.0
Hispanic drivers,08121,265.0,306.0
White drivers,08121,2083.0,3488.0
Black drivers,08123,481.0,1894.0
Hispanic drivers,08123,3011.0,51827.0
White drivers,08123,12423.0,145051.0
Black drivers,08125,12.0,17.0
Hispanic drivers,08125,222.0,1362.0
White drivers,08125,1500.0,6319.0
Black drivers,09001,5420.0,79090.0
Hispanic drivers,09001,5144.0,129073.0
White drivers,09001,19413.0,494636.0
Black drivers,09003,5619.0,90431.0
Hispanic drivers,09003,3504.0,108514.0
White drivers,09003,19089.0,483399.0
Black drivers,09005,934.0,2062.0
Hispanic drivers,09005,1238.0,7079.0
White drivers,09005,17911.0,140718.0
Black drivers,09007,2481.0,6276.0
Hispanic drivers,09007,1881.0,6836.0
White drivers,09007,21536.0,118257.0
Black drivers,09009,6112.0,82523.0
Hispanic drivers,09009,5116.0,102004.0
White drivers,09009,24371.0,479626.0
Black drivers,09011,3317.0,12276.0
Hispanic drivers,09011,2409.0,19108.0
White drivers,09011,27657.0,176936.0
Black drivers,09013,2315.0,4072.0
Hispanic drivers,09013,1935.0,5684.0
White drivers,09013,28113.0,109951.0
Black drivers,09015,881.0,1718.0
Hispanic drivers,09015,1328.0,8775.0
White drivers,09015,18103.0,82176.0
Black drivers,12001,3418.0,38664.0
Hispanic drivers,12001,1239.0,18416.0
White drivers,12001,8815.0,138258.0
Black drivers,12003,1091.0,2907.0
Hispanic drivers,12003,176.0,450.0
White drivers,12003,3011.0,17292.0
Black drivers,12005,2192.0,14374.0
Hispanic drivers,12005,392.0,6776.0
White drivers,12005,12214.0,113831.0
Black drivers,12007,236.0,4352.0
Hispanic drivers,12007,62.0,827.0
White drivers,12007,966.0,16745.0
Black drivers,12009,1536.0,42041.0
Hispanic drivers,12009,1299.0,37220.0
White drivers,12009,6843.0,364064.0
Black drivers,12011,14932.0,377871.0
Hispanic drivers,12011,18482.0,391819.0
White drivers,12011,23654.0,646854.0
Black drivers,12013,150.0,1679.0
Hispanic drivers,12013,31.0,608.0
White drivers,12013,788.0,9216.0
Black drivers,12015,614.0,7703.0
Hispanic drivers,12015,1012.0,8207.0
White drivers,12015,3911.0,127241.0
Black drivers,12017,148.0,3126.0
Hispanic drivers,12017,130.0,5404.0
White drivers,12017,3208.0,109452.0
Black drivers,12019,581.0,14745.0
Hispanic drivers,12019,275.0,12496.0
White drivers,12019,2917.0,119930.0
Black drivers,12021,2881.0,16291.0
Hispanic drivers,12021,6350.0,65360.0
White drivers,12021,9512.0,197869.0
Black drivers,12023,2747.0,9552.0
Hispanic drivers,12023,908.0,2713.0
White drivers,12023,6800.0,40929.0
Black drivers,12027,666.0,3616.0
Hispanic drivers,12027,895.0,7705.0
White drivers,12027,3891.0,16706.0
Black drivers,12029,274.0,1188.0
Hispanic drivers,12029,99.0,436.0
White drivers,12029,2795.0,11467.0
Black drivers,12031,8443.0,193056.0
Hispanic drivers,12031,1894.0,54554.0
White drivers,12031,16985.0,413485.0
Black drivers,12033,3188.0,51016.0
Hispanic drivers,12033,450.0,12050.0
White drivers,12033,9665.0,169796.0
Black drivers,12035,760.0,8565.0
Hispanic drivers,12035,451.0,7344.0
White drivers,12035,2337.0,65578.0
Black drivers,12037,163.0,1459.0
Hispanic drivers,12037,38.0,489.0
White drivers,12037,1770.0,7782.0
Black drivers,12039,5255.0,19601.0
Hispanic drivers,12039,1191.0,3093.0
White drivers,12039,7341.0,13782.0
Black drivers,12041,46.0,738.0
Hispanic drivers,12041,27.0,621.0
White drivers,12041,677.0,12274.0
Black drivers,12043,204.0,1456.0
Hispanic drivers,12043,442.0,2052.0
White drivers,12043,741.0,7289.0
Black drivers,12045,52.0,2665.0
Hispanic drivers,12045,5.0,656.0
White drivers,12045,384.0,9992.0
Black drivers,12047,1349.0,3991.0
Hispanic drivers,12047,384.0,937.0
White drivers,12047,2590.0,6766.0
Black drivers,12049,223.0,1490.0
Hispanic drivers,12049,548.0,7875.0
White drivers,12049,1474.0,11072.0
Black drivers,12051,497.0,3445.0
Hispanic drivers,12051,1340.0,13648.0
White drivers,12051,1952.0,10929.0
Black drivers,12053,856.0,6635.0
Hispanic drivers,12053,1025.0,14883.0
White drivers,12053,11325.0,120856.0
Black drivers,12055,986.0,6907.0
Hispanic drivers,12055,1610.0,12988.0
White drivers,12055,4500.0,60726.0
Black drivers,12057,4314.0,155104.0
Hispanic drivers,12057,5271.0,251506.0
White drivers,12057,16356.0,571088.0
Black drivers,12059,610.0,1130.0
Hispanic drivers,12059,276.0,388.0
White drivers,12059,2399.0,14086.0
Black drivers,12061,1376.0,9299.0
Hispanic drivers,12061,1399.0,11895.0
White drivers,12061,4491.0,96548.0
Black drivers,12063,1471.0,10775.0
Hispanic drivers,12063,438.0,1852.0
White drivers,12063,4247.0,27162.0
Black drivers,12065,1399.0,4055.0
Hispanic drivers,12065,324.0,425.0
White drivers,12065,3011.0,7250.0
Black drivers,12067,94.0,1191.0
Hispanic drivers,12067,53.0,812.0
White drivers,12067,506.0,5090.0
Black drivers,12069,2396.0,22826.0
Hispanic drivers,12069,2437.0,29762.0
White drivers,12069,10345.0,194449.0
Black drivers,12071,2059.0,38936.0
Hispanic drivers,12071,4017.0,91650.0
White drivers,12071,11227.0,408226.0
Black drivers,12073,7840.0,67955.0
Hispanic drivers,12073,1317.0,13795.0
White drivers,12073,13974.0,139765.0
Black drivers,12075,352.0,2806.0
Hispanic drivers,12075,162.0,2290.0
White drivers,12075,2387.0,26944.0
Black drivers,12077,223.0,1396.0
Hispanic drivers,12077,47.0,432.0
White drivers,12077,811.0,4895.0
Black drivers,12079,2292.0,5749.0
Hispanic drivers,12079,877.0,720.0
White drivers,12079,4328.0,8663.0
Black drivers,12081,1576.0,21928.0
Hispanic drivers,12081,1800.0,35567.0
White drivers,12081,7438.0,218148.0
Black drivers,12083,2328.0,31789.0
