"state","location_raw","county_name"
IL,"ALTON POLICE","Franklin County"
IL,"ALTONA POLICE","Knox County"
IL,"ALVIN POLICE","Vermilion County"
IL,"AMBOY POLICE","Lee County"
IL,"ANNA POLICE","Union County"
IL,"ANNAWAN POLICE","Henry County"
IL,"ANTIOCH POLICE","Lake County"
IL,"APPLE RIVER POLICE","Jo Daviess County"
IL,"ARCOLA POLICE","Douglas County"
IL,"ARGENTA POLICE","Macon County"
IL,"ARLINGTON HEIGHTS POLICE","Cook County"
IL,"ARMINGTON POLICE","Fulton County"
IL,"AROMA PARK POLICE","Kankakee County"
IL,"ARTHUR POLICE","Douglas County"
IL,"ASHKUM POLICE","Iroquois County"
IL,"ASHLAND POLICE","Cass County"
IL,"ASHLEY POLICE","Washington County"
IL,"ASHTON POLICE","Lee County"
IL,"ASSUMPTION POLICE","Christian County"
IL,"ASTORIA POLICE","Fulton County"
IL,"ATHENS POLICE","Menard County"
IL,"ATKINSON POLICE","Henry County"
IL,"ATLANTA POLICE","Logan County"
IL,"ATWOOD POLICE","Douglas County"
IL,"AUBURN POLICE","Sangamon County"
IL,"AUGUSTA POLICE","Hancock County"
IL,"AURORA POLICE","Kane County"
IL,"AVA POLICE","Mason County"
IL,"AVIATION POLICE - MDW","Cook County"
IL,"AVIATION POLICE - ORD","Cook County"
IL,"AVIATION POLICE-ORD","Cook County"
IL,"AVISTON POLICE","Clinton County"
IL,"AVON POLICE","Fulton County"
IL,"BALDWIN POLICE","Randolph County"
IL,"BANNOCKBURN POLICE","Lake County"
IL,"BARRINGTON - INVERNESS POLICE","Cook County"
IL,"BARRINGTON HILLS POLICE","Lake County"
IL,"BARRINGTON POLICE","Lake County"
IL,"BARRY POLICE","Pike County"
IL,"BARTLETT POLICE","Cook County"
IL,"BARTONVILLE POLICE","Peoria County"
IL,"BATAVIA POLICE","Kane County"
IL,"BATH POLICE","Mason County"
IL,"BAYVIEW GARDENS POLICE","Tazewell County"
IL,"BEARDSTOWN POLICE","Cass County"
IL,"BECKEMEYER POLICE","Clinton County"
IL,"BEDFORD PARK POLICE","Cook County"
IL,"BEECHER POLICE","Will County"
IL,"BELGIUM POLICE","Vermilion County"
IL,"BELLEFLOWER POLICE","McLean County"
IL,"BELLEVILLE POLICE","St. Clair County"
IL,"BELLWOOD POLICE","Cook County"
IL,"BELVIDERE POLICE","Boone County"
IL,"BEMENT POLICE","Piatt County"
IL,"BENEDICTINE UNIVERSITY POLICE","Sangamon County"
IL,"BENLD POLICE","Macoupin County"
IL,"BENSENVILLE POLICE","DuPage County"
IL,"BENTON POLICE","Franklin County"
IL,"BERKELEY POLICE","Cook County"
IL,"BERWYN POLICE","Cook County"
IL,"BETHALTO POLICE","Madison County"
IL,"BETHANY POLICE","Moultrie County"
IL,"BLANDINSVILLE POLICE","McDonough County"
IL,"BLOOMINGDALE POLICE","DuPage County"
IL,"BLOOMINGTON POLICE","McLean County"
IL,"BLUE ISLAND POLICE","Cook County"
IL,"Blue Mound Police Department","Macon County"
IL,"BLUE MOUND POLICE","Macon County"
IL,"BLUFFS POLICE","Scott County"
IL,"BNSF RAILROAD POLICE",NA
IL,"BOLINGBROOK POLICE","Will County"
IL,"BOND COUNTY SHERIFF","Bond County"
IL,"BONNIE POLICE","Jefferson County"
IL,"BOONE COUNTY SHERIFF","Boone County"
IL,"BOURBONNAIS POLICE","Kankakee County"
IL,"BRADFORD POLICE","Stark County"
IL,"BRADLEY POLICE","Kankakee County"
IL,"BRADLEY UNIVERSITY POLICE","Peoria County"
IL,"BRAIDWOOD POLICE","Will County"
IL,"BREESE POLICE","Clinton County"
IL,"BRIDGEPORT POLICE","Lawrence County"
IL,"BRIDGEVIEW POLICE","Cook County"
IL,"BRIGHTON POLICE","Jersey County"
IL,"BROADVIEW POLICE","Cook County"
IL,"BROCTON POLICE","Edgar County"
IL,"BROOKFIELD POLICE","Cook County"
IL,"BROOKLYN POLICE","St. Clair County"
IL,"BROOKPORT POLICE","Massac County"
IL,"BROWN COUNTY SHERIFF","Brown County"
IL,"BROWNSTOWN POLICE","Fayette County"
IL,"BUCKLEY POLICE","Iroquois County"
IL,"BUCKNER POLICE","Franklin County"
IL,"BUDA POLICE","Bureau County"
IL,"BUFFALO GROVE POLICE","Lake County"
IL,"BUFFALO-MECHANICSBURG POLICE","Sangamon County"
IL,"BULL VALLEY POLICE","McHenry County"
IL,"BUNCOMBE POLICE","Johnson County"
IL,"BUNKER HILL POLICE","Macoupin County"
IL,"BURBANK POLICE","Cook County"
IL,"BUREAU COUNTY SHERIFF","Bureau County"
IL,"BURNHAM POLICE","Cook County"
IL,"BURR RIDGE POLICE","DuPage County"
IL,"BUSHNELL POLICE","McDonough County"
IL,"BYRON POLICE","Rock Island County"
IL,"CAHOKIA POLICE","St. Clair County"
IL,"CAIRO POLICE","Alexander County"
IL,"CALHOUN COUNTY SHERIFF","Calhoun County"
IL,"CALUMET CITY POLICE","Cook County"
IL,"CALUMET PARK POLICE","Cook County"
IL,"CAMBRIA POLICE","Williamson County"
IL,"CAMBRIDGE POLICE","Henry County"
IL,"CAMP POINT POLICE","Adams County"
